bugID,week,month,yearday,hour,day,commit_size,changed_file,churn,committer_exp,reporter_exp,assignee_exp,keyword,fix_time,invalid_status,severity,priority,platform,title_size,cc_count,reopened
24178,Wed,Oct,302,21,29,1,1,30,272,1,437,NO,7.2,NO,normal,P3,PC,7,1,NO
121764,Wed,Dec,355,19,21,7,2,105,521,8,9,YES,0.0,NO,normal,P3,PC,6,1,NO
121764,Wed,Dec,355,21,21,7,1,9,522,8,9,YES,1.2,NO,normal,P3,PC,6,1,NO
44223,Tue,Oct,287,19,14,1,1,15,180,158,451,NO,0.0,NO,normal,P3,PC,8,0,NO
83451,Wed,Jul,207,20,26,8,4,67,788,1,670,NO,0.0,NO,critical,P3,PC,8,1,NO
119207,Fri,Jan,6,17,6,6,2,6,676,2,77,YES,0.0,NO,normal,P3,PC,4,0,NO
3320,Fri,Dec,342,18,8,1,4,10,285,6,10,NO,0.0,NO,normal,P3,All,13,1,NO
3321,Mon,Jan,8,21,8,3,1,15,292,7,16,NO,0.0,NO,normal,P1,All,8,0,NO
3323,Mon,Jan,22,19,22,3,4,10,294,19,3,NO,0.0,NO,normal,P3,All,8,0,NO
54358,Thu,Mar,71,18,11,1,1,21,376,14,589,NO,0.0,NO,major,P1,PC,9,1,NO
87122,Fri,Mar,63,17,4,1,1,52,367,9,683,NO,0.0,NO,normal,P3,PC,4,0,NO
3326,Mon,Feb,43,20,12,3,1,15,302,24,14,NO,0.0,NO,normal,P3,All,8,0,NO
3327,Mon,Feb,50,16,19,3,4,10,304,20,9,NO,0.0,NO,normal,P3,All,12,1,NO
20279,Wed,Apr,99,18,9,1,1,10,128,12,136,NO,0.0,NO,normal,P3,PC,8,0,NO
20279,Wed,Apr,99,20,9,1,1,10,129,12,136,NO,1.6,NO,normal,P3,PC,8,0,NO
20279,Wed,Apr,99,20,9,1,1,10,174,12,136,NO,1.7,NO,normal,P3,PC,8,0,NO
58308,Thu,Apr,113,15,22,1,1,11,409,1,785,NO,0.0,NO,normal,P3,Other,6,1,YES
58308,Thu,Apr,113,16,22,1,1,22,410,1,785,NO,0.8,NO,normal,P3,Other,6,1,YES
58308,Thu,Apr,113,16,22,1,1,22,411,1,785,NO,1.1,NO,normal,P3,Other,6,1,YES
20075,Wed,Oct,282,12,9,5,1,15,46,4,133,NO,0.0,NO,normal,P3,PC,6,0,YES
20075,Tue,Oct,295,15,22,4,1,3,48,4,133,NO,8.3,NO,normal,P3,PC,6,0,YES
186634,Thu,Feb,59,23,28,32,4,204,752,1,151,YES,0.0,NO,normal,P3,PC,23,1,NO
186634,Thu,Feb,59,23,28,32,1,90,753,1,151,YES,0.3,NO,normal,P3,PC,23,1,NO
62224,Wed,May,131,21,11,6,8,165,530,2,599,NO,0.0,YES,normal,P3,PC,7,1,YES
62224,Wed,May,131,22,11,6,1,48,531,2,599,NO,1.3,YES,normal,P3,PC,7,1,YES
278041,Thu,Oct,295,20,22,8,12,65,488,6,17,NO,0.0,NO,normal,P3,Macintosh,15,1,NO
284572,Mon,Sep,264,14,21,8,19,361,462,1,284,YES,0.0,NO,normal,P3,Macintosh,6,1,NO
30500,Wed,Jan,29,18,29,1,1,7,165,2,482,NO,0.0,NO,normal,P3,PC,2,1,NO
223480,Wed,Apr,107,18,16,9,1,11,136,1,111,NO,0.0,NO,major,P3,PC,7,1,NO
223480,Wed,Apr,107,22,16,9,1,5,137,1,111,NO,2.4,NO,major,P3,PC,7,1,NO
51081,Wed,Feb,35,16,4,1,1,264,249,6,491,NO,0.0,NO,normal,P3,PC,10,0,NO
51081,Wed,Feb,35,18,4,1,1,240,250,6,491,NO,1.6,NO,normal,P3,PC,10,0,NO
51081,Wed,Feb,35,20,4,1,1,135,251,6,491,NO,2.5,NO,normal,P3,PC,10,0,NO
51081,Wed,Feb,35,21,4,1,1,114,252,6,491,NO,2.6,NO,normal,P3,PC,10,0,NO
51081,Wed,Feb,35,22,4,1,1,228,253,6,491,NO,2.9,NO,normal,P3,PC,10,0,NO
51081,Thu,Feb,36,18,5,1,1,208,254,6,491,NO,4.8,NO,normal,P3,PC,10,0,NO
67301,Thu,Jun,169,22,17,1,1,8,360,19,156,NO,0.0,NO,normal,P3,PC,4,0,NO
97914,Wed,Jun,152,21,1,1,1,23,715,2,973,NO,0.0,NO,normal,P3,PC,11,0,NO
207394,Fri,Nov,327,16,23,13,2,39,38,1,51,YES,0.0,YES,normal,P3,PC,21,1,YES
207394,Fri,Nov,327,22,23,13,1,39,39,1,51,YES,2.9,YES,normal,P3,PC,21,1,YES
3038,Mon,Feb,40,19,9,1,4,10,49,1,2,NO,0.0,NO,normal,P3,All,7,0,NO
3039,Mon,Feb,47,20,16,1,4,10,51,2,3,NO,0.0,NO,normal,P3,All,7,0,NO
220852,Wed,Mar,79,20,19,12,1,1,137,5,72,YES,0.0,NO,normal,P3,All,9,1,NO
3035,Mon,Jan,12,22,12,1,4,10,192,11,2,NO,0.0,NO,major,P3,All,8,1,NO
3031,Mon,Nov,328,23,24,1,1,15,185,9,10,NO,0.0,YES,normal,P3,All,4,0,NO
3031,Mon,Apr,108,20,18,1,4,10,155,9,10,NO,13.6,YES,normal,P3,All,4,0,NO
108591,Tue,Jul,191,22,10,10,7,164,656,2,12,YES,0.0,NO,normal,P3,All,8,1,NO
108591,Wed,Aug,234,21,22,11,5,536,666,2,12,YES,10.0,NO,normal,P3,All,8,1,NO
108591,Wed,Aug,234,21,22,11,2,100,667,2,12,YES,10.0,NO,normal,P3,All,8,1,NO
108591,Wed,Aug,234,22,22,10,1,131,668,2,12,NO,10.0,NO,normal,P3,All,8,1,NO
108591,Thu,Aug,235,16,23,10,2,18,669,2,12,YES,10.0,NO,normal,P3,All,8,1,NO
283415,Mon,Aug,229,17,17,12,1,7,445,1,282,NO,0.0,NO,major,P3,PC,10,1,NO
31563,Fri,Feb,35,18,4,9,10,173,8,16,135,NO,0.0,NO,normal,P3,PC,15,1,NO
35040,Wed,May,133,16,12,1,1,13,425,1,491,NO,0.0,NO,normal,P3,PC,7,1,YES
35040,Fri,Nov,324,19,19,1,1,328,457,1,491,NO,12.2,NO,normal,P3,PC,7,1,YES
35040,Fri,Nov,324,20,19,1,8,89,459,1,491,NO,12.2,NO,normal,P3,PC,7,1,YES
50183,Thu,May,148,18,27,1,1,2,463,1,755,NO,0.0,NO,blocker,P1,Macintosh,7,0,NO
76195,Wed,Oct,287,20,13,1,3,56,573,1,877,NO,0.0,NO,normal,P3,PC,6,0,NO
76195,Wed,Oct,287,21,13,1,3,28,574,1,877,NO,0.4,NO,normal,P3,PC,6,0,NO
27704,Thu,Dec,339,16,5,1,3,73,73,1,331,NO,0.0,NO,normal,P3,PC,4,1,NO
165108,Thu,Nov,327,23,23,13,1,4,590,2,119,YES,0.0,NO,normal,P3,Macintosh,10,1,YES
8521,Mon,Sep,266,16,22,7,1,9,826,1,673,YES,0.0,NO,enhancement,P4,All,4,1,NO
66962,Fri,Jun,170,20,18,1,1,6,511,23,834,NO,0.0,NO,normal,P3,PC,13,0,NO
272156,Tue,Apr,104,16,14,8,1,9,374,113,514,NO,0.0,NO,major,P3,PC,6,1,NO
272156,Tue,Apr,104,16,14,8,5,18,375,113,514,NO,0.2,NO,major,P3,PC,6,1,NO
15025,Thu,Mar,78,21,18,3,15,564,291,1,4,NO,0.0,NO,enhancement,P3,All,4,1,NO
15025,Thu,Mar,78,21,18,3,4,27,292,1,4,NO,0.3,NO,enhancement,P3,All,4,1,NO
15025,Fri,Mar,79,16,19,3,1,3,293,1,4,NO,4.3,NO,enhancement,P3,All,4,1,NO
15025,Fri,Mar,79,16,19,3,7,211,294,1,4,NO,4.3,NO,enhancement,P3,All,4,1,NO
